model_id,condition,winsorize_pct,scenario,axis,point,ci_lo,ci_hi,n_prompts,n_iters_with_data_race,n_boot_finite
gemini-3.1-flash-lite-preview,direct_audio_response,,Civic and Religious Activities,accent,-0.0714939052139333,-0.2857081640335793,0.1484808586795705,2,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Civic and Religious Activities,gender,0.0239159176176501,-0.1772053013137971,0.22764943160242,2,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Civic and Religious Activities,race,-0.2769497792634809,-0.4893517365164238,-0.0890107203196697,2,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Finance,accent,-0.1492503177328904,-0.3928639240945234,0.166129863958047,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Finance,gender,-0.0803050289466877,-0.3667998748231163,0.1583135328900853,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Finance,race,0.0334330726960704,-0.2450873258841035,0.2737337759659828,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Household Activities,accent,0.1075109106047714,-0.157059811807114,0.3754903027416135,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Household Activities,gender,-0.3894258641247156,-0.6657826925051403,-0.1300693137512831,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Household Activities,race,0.2699813598543541,0.0127935510638262,0.5451230684318297,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Leisure and Sports,accent,-0.082111393483628,-0.237737734829327,0.1189076945712415,4,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Leisure and Sports,gender,-0.0881547357450561,-0.2777150120440786,0.025692017243656,4,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Leisure and Sports,race,-0.0524764528089311,-0.1830416785783853,0.0813385099896881,4,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Personal Care,accent,-0.1415813600881448,-0.4202502873916078,0.119556460900454,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Personal Care,gender,-0.0292857547409405,-0.2664601076430331,0.223653814505264,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Personal Care,race,-0.0715420061968444,-0.3579080133107012,0.1672481411073929,1,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Purchasing Goods and Services,accent,-0.226199322319284,-0.3738609845099745,-0.0904097732876175,5,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Purchasing Goods and Services,gender,-0.1077380385271808,-0.2283798481029927,0.0059461158211236,5,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Purchasing Goods and Services,race,-0.325634173581435,-0.4853235606026366,-0.2106915021155073,5,3,2000
gemini-3.1-flash-lite-preview,direct_audio_response,,Work-related Activities,accent,0.0295136618364395,-0.2175005226400564,0.2679783702247963,2,3,2000
